---
quantity: σ_110
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
T: 14.0
---
# q,σ_110
0.0,1.1746121975585131e8
101010.10101010102,1.1757069595870101e8 - 0.0039064212444902425im
202020.20202020204,1.1731200943290922e8 + 0.006206606423160063im
303030.30303030304,1.1688501793226162e8 + 0.004506750049042873im
404040.4040404041,1.1629578485536714e8 + 0.17413884303072752im
505050.50505050505,1.1555248379550707e8 - 0.060281468117526056im
606060.6060606061,1.146651014707445e8 + 0.11242713729331016im
707070.707070707,1.1364510390724167e8 - 0.009282178447994645im
808080.8080808081,1.125050664116225e8 + 0.012740111501937185im
909090.9090909091,1.1125830046207902e8 - 0.3923184266072792im
1.0101010101010101e6,1.0991849152799898e8 - 0.6729945818758082im
1.111111111111111e6,1.084993650353001e8 + 0.01148993362753254im
1.2121212121212122e6,1.0701439081741261e8 - 0.03993425679346552im
1.3131313131313133e6,1.0547653446106772e8 - 0.05946883157910531im
1.414141414141414e6,1.038980593213812e8 - 0.12466030190768411im
1.5151515151515151e6,1.0229037793941537e8 + 0.3220939612249965im
1.6161616161616163e6,1.0066395269187124e8 + 0.0010071486629641608im
1.7171717171717172e6,9.90282379048822e7 + 0.26017007404631215im
1.8181818181818181e6,9.739165553653368e7 + 0.2125139476654877im
1.919191919191919e6,9.576161061900571e7 + 0.007921636983472773im
2.0202020202020202e6,9.414452106885149e7 + 0.1242073895209836im
2.121212121212121e6,9.254586944936793e7 - 0.0375422175630362im
2.222222222222222e6,9.097026855179289e7 + 0.03097680043839069im
2.3232323232323234e6,8.942153123020527e7 - 0.28250032095973004im
2.4242424242424243e6,8.79027473762431e7 + 0.13625174315269312im
2.525252525252525e6,8.64163564267335e7 - 0.1674547010052081im
2.6262626262626266e6,8.4964228498669e7 + 0.10707148160880942im
2.727272727272727e6,8.354772625851932e7 - 0.03514793684766622im
2.828282828282828e6,8.216778104930085e7 - 0.1279119313518747im
2.9292929292929294e6,8.08249476813366e7 - 0.10682843510519102im
3.0303030303030303e6,7.951946242520817e7 + 0.023055639592432963im
3.1313131313131317e6,7.825129403861818e7 - 0.04683429216267183im
3.2323232323232326e6,7.702018772903562e7 + 0.28759293314529205im
3.333333333333333e6,7.582570361772273e7 + 0.0576133029893873im
3.4343434343434344e6,7.466725323873511e7 - 0.09412615551150033im
3.5353535353535353e6,7.354412926067014e7 + 0.018726193408149003im
3.6363636363636362e6,7.2455528874202e7 - 0.017208247107629533im
3.7373737373737376e6,7.140057848978297e7 - 0.11361802015414452im
3.838383838383838e6,7.037835249177743e7 + 0.25931938123966475im
3.9393939393939395e6,6.938788795385773e7 - 0.11151463345722444im
4.0404040404040404e6,6.842819889082952e7 + 0.2766090759495276im
4.1414141414141413e6,6.749828575252423e7 - 0.03342661017181146im
4.242424242424242e6,6.659714843829157e7 - 0.11131537582237244im
4.343434343434344e6,6.572378996549939e7 + 0.031882598885705014im
4.444444444444444e6,6.487722412183405e7 + 0.0390945478692168im
4.545454545454545e6,6.4056480279460624e7 - 0.007486067252564917im
4.646464646464647e6,6.326060783983656e7 + 0.35122233652024143im
4.747474747474748e6,6.248867930583607e7 + 0.15055843340274663im
4.848484848484849e6,6.173978999179516e7 + 0.16845333729819378im
4.94949494949495e6,6.101306429753871e7 - 0.06651569034057467im
5.05050505050505e6,6.0307652283288166e7 - 0.08501401739982811im
5.151515151515151e6,5.9622732815582424e7 - 0.1466645008023587im
5.252525252525253e6,5.895751456929148e7 + 0.22117473334363907im
5.353535353535353e6,5.8311233656897634e7 + 0.22118387692507263im
5.454545454545454e6,5.7683156221167974e7 + 0.0964748150045878im
5.555555555555556e6,5.7072574998448886e7 - 0.1818111332548477im
5.656565656565656e6,5.647881218429664e7 - 0.045380903112874835im
5.757575757575758e6,5.590121637696177e7 + 0.09944232391391876im
5.858585858585859e6,5.533916291324156e7 - 0.03906514463510322im
5.959595959595959e6,5.479205346962107e7 - 0.32016857626341577im
6.060606060606061e6,5.425931276142842e7 - 0.06930226292436124im
6.161616161616161e6,5.374039275300753e7 + 0.09194816283281153im
6.262626262626263e6,5.323476526607474e7 + 0.1365466613917985im
6.363636363636363e6,5.274192736374958e7 + 0.0008158693537158129im
6.464646464646465e6,5.226139638831803e7 + 0.017266138214938196im
6.565656565656566e6,5.179271014338702e7 + 0.023065617739133935im
6.666666666666666e6,5.13354269607589e7 - 0.04342908154892395im
6.767676767676768e6,5.08891235261448e7 - 0.07482351350726203im
6.868686868686869e6,5.0453395023447245e7 + 0.03289376685821749im
6.96969696969697e6,5.0027854278213315e7 + 0.0004318703267037476im
7.070707070707071e6,4.961213035104942e7 - 0.006621873296970263im
7.171717171717172e6,4.9205868370940305e7 + 0.034110999485405955im
7.2727272727272725e6,4.880872863449124e7 + 0.018018528320558277im
7.373737373737373e6,4.842038607585889e7 - 0.02246384494401735im
7.474747474747475e6,4.804052931870362e7 - 0.0037007057267637437im
7.575757575757576e6,4.766886021655218e7 + 0.02457608165374806im
7.676767676767676e6,4.7305093442452155e7 + 0.019941678278274654im
7.777777777777778e6,4.6948955219949186e7 - 0.016753787223361693im
7.878787878787879e6,4.660018404839371e7 + 0.09965577170742289im
7.97979797979798e6,4.625852837038132e7 - 0.08122123259173587im
8.080808080808081e6,4.5923748053192824e7 + 0.02087629942663036im
8.181818181818183e6,4.559561281215146e7 - 0.05346228833143002im
8.282828282828283e6,4.5273900430671714e7 - 0.03274597004939525im
8.3838383838383835e6,4.495839999599509e7 + 0.00840280216002414im
8.484848484848484e6,4.464890756139616e7 + 0.03136168275290624im
8.585858585858585e6,4.434522842359378e7 + 0.0007154314276950958im
8.686868686868688e6,4.404717509584688e7 - 0.0303938822063875im
8.787878787878787e6,4.37545683595205e7 + 0.07825607917757416im
8.888888888888888e6,4.346723537917237e7 - 0.03221061046533331im
8.98989898989899e6,4.3185010586964965e7 + 0.042437536692092145im
9.09090909090909e6,4.2907735047765374e7 - 0.0037841011495637717im
9.191919191919193e6,4.263525607030486e7 + 0.0048933902124152955im
9.292929292929294e6,4.236742659055802e7 + 0.0463588570600431im
9.393939393939395e6,4.210410579089961e7 + 0.01707551193185741im
9.494949494949495e6,4.184515770666225e7 + 0.03793762548099615im
9.595959595959596e6,4.159045225920956e7 + 0.14237099675610698im
9.696969696969697e6,4.133986391293264e7 + 0.09664468488640161im
9.797979797979798e6,4.1093272086286016e7 - 0.01909178148301616im
9.8989898989899e6,4.085056046544344e7 + 0.0517910710526903im
1.0e7,4.0611617637092926e7 - 0.010961693977997318im
