---
quantity: σxx
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
T: 14.0
---
# qy,σxx
0.0,1.174612183057632e8 + 0.015001873366131496im
99327.48154787933,1.1744894813350716e8 - 0.03678863077446413im
198654.96309575866,1.1741318382260308e8 - 0.017757949766676003im
297982.444643638,1.1735378596446972e8 + 0.0026667503766362745im
397309.9261915173,1.172710633334918e8 - 0.007694382332312537im
496637.4077393967,1.1716543811433433e8 + 0.03735569741320713im
595964.889287276,1.1703743657303521e8 - 0.002835847659616527im
695292.3708351552,1.1688767748859607e8 - 0.008000231015835099im
794619.8523830347,1.1671686019241756e8 + 0.0037176346770508018im
893947.3339309139,1.1652575014048766e8 - 0.023035871363983672im
993274.8154787933,1.1631516642743516e8 - 0.004793006642678686im
1.0926022970266726e6,1.160859679188613e8 + 0.01474938455523082im
1.191929778574552e6,1.1583904062810871e8 - 0.029420793202442095im
1.2912572601224314e6,1.1557528595527354e8 - 0.00300240720732523im
1.3905847416703105e6,1.152956105037264e8 + 0.0002818239347836945im
1.4899122232181898e6,1.1500091662821296e8 - 0.02643192780840279im
1.5892397047660693e6,1.1469209446905781e8 + 0.03706319589831244im
1.6885671863139484e6,1.1437001630123287e8 + 0.07503581902328396im
1.7878946678618279e6,1.1403553016906463e8 + 0.0013745912733256686im
1.8872221494097072e6,1.1368945746174194e8 - 0.0027929009364595797im
1.9865496309575867e6,1.1333258870772114e8 + 0.00854065366499675im
2.0858771125054657e6,1.1296568242563301e8 - 0.04762579691061147im
2.1852045940533453e6,1.1258946361588773e8 - 0.0004121865145059991im
2.2845320756012243e6,1.1220462370761423e8 - 0.01052724638933109im
2.383859557149104e6,1.118118201547681e8 - 0.009290056258791014im
2.483187038696983e6,1.114116771008636e8 - 0.06135763816351677im
2.582514520244863e6,1.11004786314079e8 - 0.058813371555680206im
2.681842001792742e6,1.1059170787556897e8 + 0.06528463022289731im
2.781169483340621e6,1.1017297162482318e8 + 0.008960322184796995im
2.8804969648885005e6,1.097490784046782e8 - 0.04904087731852632im
2.9798244464363796e6,1.0932050124704859e8 - 0.00031637689286848796im
3.079151927984259e6,1.088876869550058e8 + 0.027013016810601375im
3.1784794095321386e6,1.0845105735578385e8 + 0.018165109674366978im
3.2778068910800177e6,1.0801101074487914e8 + 0.014523466705252425im
3.3771343726278967e6,1.0756792262397134e8 + 0.05851218641080502im
3.4764618541757767e6,1.0712214792313892e8 + 0.02762441922467253im
3.5757893357236558e6,1.0667402149485077e8 - 0.007498398728126865im
3.6751168172715353e6,1.06223859160271e8 + 0.03641872448338275im
3.7744442988194143e6,1.0577195899743722e8 + 0.021511033306882112im
3.8737717803672934e6,1.0531860258553846e8 - 0.004453996854686717im
3.9730992619151734e6,1.0486405539124765e8 - 0.03159528647918584im
4.0724267434630524e6,1.0440856801231334e8 - 0.012142892657751125im
4.1717542250109315e6,1.0395237683466354e8 - 0.011797029012683839im
4.271081706558811e6,1.0349570487663117e8 - 4.020352021938161e-5im
4.3704091881066905e6,1.0303876257621504e8 - 0.003439935525793607im
4.46973666965457e6,1.025817480670584e8 - 0.05564581283912896im
4.569064151202449e6,1.0212484850005488e8 - 0.016003698225801204im
4.668391632750329e6,1.0166823997375572e8 - 0.01917587069114168im
